Player_initial_last,tournament id,player id,DK_Hole_FP,DK_Streak_Bonus_FP,FD_Hole_FP,FD_Streak_Bonus_FP,player,tournament name,date,season,final position,DK_Finish_FP,FD_Finish_FP,DK_Total_FP,FD_Total_FP,major,made_cut,course,Finish,Score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
A. Cook,401056555,9517,29.5,3,27.2,5.8,Austin Cook,RBC Canadian Open,6/9/2019,2019,NA,0,0,32.5,33,0,0,"Hamilton - Hamilton, Ontario, Canada",CUT,-1,-0.9,-0.42,0.6,0.7,0.88,-0.02
A. Cook,401056557,9517,31,0,28.2,0.6,Austin Cook,Rocket Mortgage Classic,6/30/2019,2019,NA,0,0,31,28.8,0,0,"Detroit Golf Club - Detroit, MI",NA,NA,NA,NA,NA,NA,NA,NA
A. Cook,401056558,9517,31,0,28.3,4.6,Austin Cook,3M Open,7/7/2019,2019,NA,0,0,31,32.9,0,0,"TPC Twin Cities - Blaine, MN",CUT,-1,0.89,-1.64,-0.22,0.34,-1.52,-0.63
A. Hadwin,3742,5548,51,0,44.6,16.2,Adam Hadwin,Sentry Tournament of Champions,1/7/2018,2018,32,2,1,53,61.8,0,1,"Kapalua Resort, Kapalua, Maui, HI",32,2,0,-0.87,-0.98,-0.42,-2.28,-2.28
A. Hadwin,3743,5548,50,6,49.9,21.6,Adam Hadwin,CareerBuilder Challenge,1/21/2018,2018,NA,0,0,56,71.5,0,0,"PGA West - La Quinta, CA",NA,NA,NA,NA,NA,NA,NA,NA
A. Hadwin,3744,5548,68,3,60.8,11.7,Adam Hadwin,Waste Management Phoenix Open,2/4/2018,2018,43,1,0,72,72.5,0,1,"TPC Scottsdale - Scottsdale, AZ",T43,-4,-0.09,1.13,0.29,-1.06,0.36,0.26
A. Hadwin,3746,5548,53.5,0,49.6,10,Adam Hadwin,Farmers Insurance Open,1/30/2018,2018,35,2,1,55.5,60.6,0,1,"Torrey Pines - La Jolla, CA",T35,-1,-0.47,0.84,-0.33,0.49,1,0.53
A. Hadwin,3748,5548,80.5,6,73.6,15.1,Adam Hadwin,Genesis Open,2/18/2018,2018,6,12,12,98.5,100.7,0,1,"Riviera - Pacific Palisades, CA",T6,-8,-0.09,0.87,1.17,0.63,2.67,2.58
A. Hadwin,3771,5548,53.5,0,51.9,5,Adam Hadwin,Valspar Championship,3/11/2018,2018,12,6,5,59.5,61.9,0,1,"Innisbrook - Palm Harbor, FL",T12,-4,-0.8,0.96,1.1,0.45,2.51,1.71
A. Hadwin,3774,5548,51.5,0,39.4,15.2,Adam Hadwin,World Golf Championships-HSBC Champions,10/29/2017,2018,65,0,0,51.5,54.6,0,1,"Sheshan International - Shanghai, China",NA,NA,NA,NA,NA,NA,NA,NA
